path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-0171.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0172.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0173.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0174.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0175.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0176.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0177.cnf,SAT,0.002,3,0
benchmarks/satlib/uf100-430/uf100-0178.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0179.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-018.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0180.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0181.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0182.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0183.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0184.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0185.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0186.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0187.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0188.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0189.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-019.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0190.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0191.cnf,SAT,0.004,7,0
benchmarks/satlib/uf100-430/uf100-0192.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0193.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0194.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0195.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0196.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0197.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0198.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0199.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-02.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-020.cnf,SAT,0.004,6,0
benchmarks/satlib/uf100-430/uf100-0200.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0201.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0202.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0203.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0204.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0205.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0206.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0207.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0208.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0209.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-021.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0210.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0211.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0212.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0213.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0214.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0215.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0216.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0217.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0218.cnf,SAT,0.002,2,0
benchmarks/satlib/uf100-430/uf100-0219.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-022.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0220.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0221.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0222.cnf,SAT,0.002,4,0
